order_id,loss_date,billing_system,brand,losing_nbn_speed,state,gaining_provider,gaining_nbn_speed
Order_ID_0001,2023-6-1,Tech_Billing,ABC Ltd,Speed25,QLD,G2 Tele Pty Ltd,Speed25
Order_ID_0002,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,ANT Telecom,Speed50
Order_ID_0003,2023-6-1,Tech_Billing,ABC Ltd,Speed50,QLD,Super Pty Ltd,Speed1000
Order_ID_0004,2023-6-1,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed50
Order_ID_0005,2023-6-1,Tech_Billing,ABC Ltd,Speed50,WA,G2 Tele Pty Ltd,Speed100-20
Order_ID_0006,2023-6-1,Tech_Billing,ABC Ltd,Speed25,VIC,G2 Tele Pty Ltd,Speed50
Order_ID_0007,2023-6-1,Tech_Billing,ABC Ltd,Speed50,QLD,Phone Company,Speed100-20
Order_ID_0008,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,Opal Pty Ltd,Speed100-20
Order_ID_0009,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,Idea,Speed25
Order_ID_0010,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,NSW,G2 Tele Pty Ltd,Speed100-20
Order_ID_0011,2023-6-1,Tech_Billing,ABC Ltd,Speed25,QLD,BB Ltd,Speed50
Order_ID_0012,2023-6-1,Tech_Billing,ABC Ltd,Speed25,QLD,G2 Tele Pty Ltd,Speed25
Order_ID_0013,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,G2 Tele Pty Ltd,Speed100-20
Order_ID_0014,2023-6-1,Tech_Billing,ABC Ltd,Speed50,QLD,Idea,Speed100-20
Order_ID_0015,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,QLD,Opal Pty Ltd,Speed50
Order_ID_0016,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,Phone Company,Speed100-20
Order_ID_0017,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed25
Order_ID_0018,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed50
Order_ID_0019,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Idea Ltd,Speed100-20
Order_ID_0020,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,Super Pty Ltd,Speed100
Order_ID_0021,2023-6-1,Tech_Billing,ABC Ltd,Speed25,VIC,G2 Tele Pty Ltd,Speed25
Order_ID_0022,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,G2 Tele Pty Ltd,Speed100-20
Order_ID_0023,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,G2 Tele Pty Ltd,Speed50
Order_ID_0024,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,Phone Company,Speed100-20
Order_ID_0025,2023-6-1,Tech_Billing,ABC Ltd,Speed25,NSW,Phone Company,Speed100-20
Order_ID_0026,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,Phone Company,Speed50
Order_ID_0027,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,SuperTel,Speed50
Order_ID_0028,2023-6-1,Tech_Billing,ABC Ltd,Speed25,QLD,Idea Ltd,Speed50
Order_ID_0029,2023-6-1,Tech_Billing,ABC Ltd,Speed25,SA,Idea Ltd,Speed50
Order_ID_0030,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Source Ltd,Speed50
Order_ID_0031,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,BB Ltd,Speed50
Order_ID_0032,2023-6-1,Tech_Billing,ABC Ltd,Speed25,WA,BB Ltd,Speed100-20
Order_ID_0033,2023-6-1,Tech_Billing,ABC Ltd,Speed25,WA,BB Ltd,Speed50
Order_ID_0034,2023-6-1,Tech_Billing,ABC Ltd,Speed50,QLD,G2 Tele Pty Ltd,Speed100-20
Order_ID_0035,2023-6-1,Tech_Billing,ABC Ltd,Speed25,QLD,Idea Ltd,Speed25
Order_ID_0036,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,VIC,Opal Pty Ltd,Speed50
Order_ID_0037,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Idea Ltd,Speed25
Order_ID_0038,2023-6-1,Tech_Billing,ABC Ltd,Speed50,NSW,Source Ltd,Speed50
Order_ID_0039,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Opal Pty Ltd,Speed250
Order_ID_0040,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,NSW,Source Ltd,Speed100-20
Order_ID_0041,2023-6-1,Tech_Billing,ABC Ltd,Speed50,VIC,Idea Ltd,Speed100-20
Order_ID_0042,2023-6-1,Tech_Billing,ABC Ltd,Speed100-20,WA,G2 Tele Pty Ltd,Speed100-20
